title	issued	modified	description	id
Inflatable Structure for Tensioned Membrane Planar Antennas, Phase II	2004-01-01	2018-07-19	Inflatable Structure for Tensioned xxxxxx xxxxxxar xxxxxx, xxxxxx	13573
UAS Demand Generator for Discrete Airspace Density, Phase I	2014-12-01	2018-07-19	A key component to solving many engineering challenges of UAS integration into xxxxxx xxxxxx is the ability to state the numbers of forecasted UAS by airframe and mission/operation type being performed within discrete airspaces. UAS growth is a function of locational based businesses and public use needs, in addition to increases in UAS uses and future aircraft types. Being able to forecast this growth requires time consuming and highly detailed configuration and model development, consensus between different organizations, and flexible tools tunable to changing perspectives. Availability of a common cloud based application integrating varying growth curves and linking geospatial aspects of UAS operations will greatly enhance and stabilize system level analysis of issues such as: radio spectrum usage, safety case analysis, economic forecasts, etc. Individuals and organizations would benefit in using a community centric tool with the ability to shared data and projections while still allowing individual researchers to set up paradigms for their own, unique forecasts.  The overall project objective is to design, develop, and study the feasibility and potential benefits of a UAS Demand xxxxxx for xxxxxx (UAxpan) system which allows for common solutions in complex forecasts of growth and uses of numerous unmanned systems and mission/operational types. This will be accomplished by developing and testing a prototype system and performing the key functionality objectives using real industry, UAS, geographic, and NAS data.	13574
Shankar	2013-06-20	2018-07-19	not available	13575
ROSETTA-ORBITER CRUISE 4-1 OSINAC 3 RDR V1.4	2018-06-26	2018-07-19	This data set contains images acquired by the OSIRIS Narrow xxxxxxle Camera during the CRUISE 4-1 mission phase	13576
CALIPSO Wide Field Camera (WFC) L1B Science 125 m Native Science Data V3-02	2018-06-25	2018-07-19	xxxxxx and xxxxxx xxxxxxfinder xxxxxx Observations (xxxxxx) was launched on April 28, 2006 to study the impact of clouds and aerosols on the xxxxxx radiation budget and climate. It flies in formation with five other satellites in the international “A-Train” (PDF) constellation for coincident Earth observations. The xxxxxx satellite comprises three instruments, xxxxxx with Orthogonal Polarization (CALIOP), the Imaging xxxxxx xxxxxx (IIR), and the xxxxxx Camera (WFC). xxxxxx is a joint satellite mission between xxxxxx and the French Agency, CNExxxxxxse data consist 5 km aerosol layer data.	13577
PDS Data Dictionary and Index Files	2018-06-25	2018-07-19	PDS xxxxxx.	13578
Fabrication of T-SOFC via Freeze Cast Methods for Space and Portable Applications, Phase II	2017-06-01	2018-07-19	As xxxxxx space missions become longer in duration the need for high efficiency power generator sets that can operate on xxxxxx logistical fuel become critical. xxxxxx xxxxxx has used fuel cells as part of the energy solution.  xxxxxx bound energy and power systems require rapid start and stop cycle times as well as high power densities. The high operational efficiency, coupled with the use of logistical fuel options make fuel cells vital to the extended future missions of xxxxxx. xxxxxx (SOFCs) have been demonstrated on a variety of gaseous and liquid hydrocarbon fuels.  Our team has developed tubular SOFC systems capable of cycling from room temperature to xxxxxx and full power in less than 15 minutes. The system has been cycled more than 250 times and demonstrated life times greater than 2000hrs. Coupling the freeze cast microstructure with the rapid cycling and portability of the tubular systems will lead to a high power density robust SOFC system operating on methane and oxygen capable of space missions.	13579
A Flight-like Prototype of the Ocean Radiometer for Carbon Assessment (ORCA)	2014-02-01	2018-07-19	N/A	13580
Oxygen-Independent Pressure Sensitive Paint, Phase I	2014-12-01	2018-07-19	"Intelligent xxxxxxical xxxxxxs (IOS) proposes to develop a unique coating that uses fluorescence quenching in an entirely new way to provide high resolution images of the true pressure distribution on surfaces in hypersonic flow. IOS will use unique pigments whose fluorescence depends directly on absolute ambient pressure, not on the partial pressure of oxygen in the flow field, to develop coatings that will allow \"legacy\" (oxygen-based) visualization equipment to characterize flows in oxygen-free atmospheres. The new pigments will also be completely compatible with temperature indicating materials and binders currently used in temperature-compensated pressure sensitive paints.In xxxxxx I IOS will create two different oxygen-insensitive pressure-sensitive pigment materials, combine them with a suitable binder, and apply the resulting paints to stainless steel test coupons. The fluorescence of these test samples will be measured under varying static pressures of pure nitrogen, and imaged in a low-speed flow environment at varying angles of attack. This will set the stage for xxxxxx development and delivery of a complete temperature-compensated true ambient pressure sensitive paint system that can be used to characterize flow around structures in hypersonic wind tunnels and other facilities where oxygen-independent pressure mapping is needed."	13581
High Performance Configurable Electrical Power System for LEO Missions, Phase I	2016-12-01	2018-07-19	Leveraging xxxxxx personnel?s extensive experience in end-to-end technology development cycles, we propose to design, fabricate and qualify an xxxxxx system targeting 50 to xxxxxx orbit average power. Fitting within a 6U or smaller envelope, this fault-tolerant electrical power system will integrate mission-configurable deployable solar arrays; ultra-efficient, low-noise peak power energy transfer circuitry; high capacity, high cycle and high power capable energy storage; and high-efficiency power regulation & distribution circuitry.  The xxxxxx-I xxxxxxion of this effort will involve the design and analysis of these systems adhering to a development philosophy of modularity, scalability and testability.	13582
High-Speed, Noninvasive, Multi-Parameter Laser Diagnostics for Transonic Flows, Phase II	2018-03-01	2018-07-19	Numerous ground-test and wind-tunnel facilities are used extensively to make surface measurements of and to characterize the forces and moments encountered by aeronautics test articles. Quantitative results in these test environments are required to validate the computational fluid dynamics (CFD) tools that are used to extrapolate wind-tunnel data toward realistic flight conditions and hardware.  The development of fast instrumentation and measurement capabilities that can readily be integrated into the extreme conditions present under such test conditions is one of several major technological challenges associated with the design, building, and operation of these complex test environments.  Among the host of physical quantities, accurate mapping of velocity flow fields remains a significant yet essential challenge in these facilities.  In addition, spatially and temporally resolved measurements of other flow parameters, such as gas density, pressure, temperature, and species mixing fractions, are of paramount importance to characterize fully the fluid dynamics.  Unfortunately, the widely available current suite of flow-field probes exhibit varying degrees of intrusiveness, requiring either the physical placement of probes inside the test facility or the introduction of foreign particles or gas-phase species into the flow field.  Thus, the development and application of non-invasive flow-field diagnostic probe techniques is of principal importance in these environments.  This proposal expands upon our successful xxxxxx-I results and offers an integrated package of truly cutting-edge, multidimensional, seedless velocimetry and flow diagnostics for ground-test facilities.  The concepts and ideas proposed range from proof-of-principle demonstration of novel methodologies using kHz-rate femtosecond (10-15 sec) and 100-kHz-rate burst-mode picosecond (10-12 s) duration laser sources to measurements in realistic tunnel conditions expected in the current solicitation.	13583
Sealed Planetary Return Canister (SPRC), Phase I	2010-07-01	2018-07-19	Sample return missions have primary importance in future planetary missions. A basic requirement is that samples be returned in pristine, uncontaminated condition, necessitating development of a canister system capable of maintaining cleanliness and seal integrity through a variety of environments. Such a canister system, the Sealed xxxxxx xxxxxx xxxxxx (SPRC), is proposed. Besides providing a high integrity seal, the canister also incorporates features that for robotic manipulation and to allow the sample to be accessed in a controlled manner upon return to Earth. The SPRC seal system addresses the two most significant concerns for planetary samples -- seal surfaces contaminated by the sample and high pressure due to the phase change of volatiles. The SPRC incorporates a novel sealing system evolved from the only marginally successful xxxxxx seal approach but with added features to address the difficulties and inconsistencies observed. The indium is contained within a protective barrier to prevent oxidation, and the knife edge is mechanically cleaned during the sealing process. The container body will be configured to accommodate a variety of samples including rock cores, rock fragments, regolith, dust, and frozen soil. Atmospheric samples can also be preserved. The design is readily scalable and adaptable to specific missions.	13584
Utilization of Space Waste to Manufacture Sorbents for Trace-Contaminant Removal, Phase I	2002-05-01	2018-07-19	Utilization of xxxxxx xxxxxx to Manufacture Sorbents for xxxxxx-Contaminant Removal, xxxxxx I	13585
VOYAGER 1 SATURN PLASMA DERIVED ELECTRON PARAMETERS 96 SEC	2018-06-26	2018-07-19	THIS DATA SET CONTAINS ELECTRON PARAMETERS IN THE PLS ENERGY RANGE (10-5950 EV) AT xxxxxxURN DURING THE VOYAGER 1 ENCOUNTER. PARAMETERS ARE CALCULATED IN SEVERAL WAYS. TOTAL MOMENT DENSITY AND TEMPERATURE ARE GIVEN. EACH ELECTRON SPECTRUM IS ALSO FIT WITH A THERMAL COMPONENT AND 1-3 HOT xxxxxx DEPENDING ON HOW MANY MAXWELLIANS ARE NEEDED TO FIT THE ENTIRE DISTRIBUTION. THE MOMENT DENSITY AND TEMPERATURE OF THE HOT COMPONENT IS CALCULATED AFTER THE THERMAL COMPONENT IS xxxxxxED FROM THE SPECTRUM. THE CHI-SQUARE VALUE FOR EACH FIT IS GIVEN. THE SPACECRAFT CHARGE IS NOT TAKEN INTO ACCOUNT, AND MAY RESULT IN xxxxxxxxxxOR OF 2-3 ERRORS IN THE THERMAL ELECTRON DENSITY. DATA IS UNRELIABLE INxxxxxx 6 RS AND IN THE OCCULTATION REGIONS. A COMPLETE DESCRIPTION OF THIS DATA SET IS IN SITTLER ET AL. (1983). DATA FORMAT: THE DATA SET IS IN ASC FORMAT AND CAN BE READ USING THE FOLLOWING FORTRAN STATEMENT:\n	13586
TNO AND CENTAUR DIAMETERS, ALBEDOS, AND        DENSITIES V4.0	2018-06-26	2018-07-19	This data set is a compilation of published diameters, albedos, and densities for Transneptunian Objects (TNOs) and xxxxxx.  A total of 190 objects are listed, many with more than one entry.  This version covers published values through 31 xxxxxxh 2016.	13587
ROSETTA-ORBITER 67P RPCMAG 4 ESC2 RESAMPLED V6.0	2018-06-26	2018-07-19	This dataset contains RExxxxxxLED DATA (CODMAC LEBVEL 4) of theCOMET ESCORT 2 xxxxxx from xxxxxxh 11 until xxxxxxe 30, 2015 of theROSETTA orbiter magnetometer RPCMAG. xxxxxx are averagedto 60s means. Observations are done in the vicinity ofcomet 67P/CHURYUMOV-GERASIMENKO 1 (1969 R1). The current version of the dataset is V6.0	13588
Bonissone CIDU Presentation: Design of Local Fuzzy Models	2010-09-10	2018-07-19	After reviewing key background concepts in fuzzy systems and evolutionary computing, we will focus on the use of local fuzzy models, which are related to both kernel regressions and locally weighted learning. Instead of using a manual approach to develop such models, we use evolutionary algorithms to search in the design space of these models.With these models we will determine the remaining life of a unit in a fleet of vehicles. Instead of developing individual models (based on the track history of each unit) or developing a global model (based on the collective track history of the fleet), we propose local fuzzy models based on clusters of peers, similar units with comparable utilization and performance. For each cluster of peers we create a local fuzzy model. We combine the fuzzy peer-based approach for performance modeling with an evolutionary framework for model maintenance. Our process generates a collection of competing models, evaluates their performance in light of the currently available data, refines the best models using evolutionary search, and selects the best one after a finite number of iterations. This process is repeated periodically to automatically produce updated and improved versions of the model.To illustrate this methodology we chose an asset selection problem: given a fleet of industrial vehicles (diesel electric locomotives), we want to select the best subset (of fixed or variable size) for mission-critical utilization. To this end, we predict the remaining life for each unit in the fleet. We then sort the fleet using this prediction and select the highest ranked units. The model chosen to perform this prediction/selection task is a fuzzy instance based model. A series of experiments using data from locomotive operations were conducted and the results from an initial validation exercise are presented.The approach of constructing local predictive models using fuzzy similarity with neighboring points along appropriate dimensions is not specific to any asset type, but it applies to many other Prognostics and Health Management (PHM) problems.	13589
Intelligent, reusable software for plug and play space avionics, Phase I	2009-07-01	2018-07-19	xxxxxx proposes to build upon our existing space processing and hardening technologies and products e.g (xxxxxx 200K), to research and develop reusable software for plug and play (xxxxxx) for intelligent avionics and payload processing. This will leverage both AFRL and xxxxxx R&D to meet xxxxxx expanding reusable software needs.At the end of xxxxxx we will have demonstrated, both by analysis and limited lab testing of prototype xxxxxx software, the technical feasibility.(xxxxxx).In xxxxxx 2 we will develop an engineering models of an avionics incorporating xxxxxx reusable software, and demonstrate electrically and also in relevant ground-based test bed at xxxxxx or AFRL.	13590
Miniature space dosimeter based on semiconductor oxides, Phase I	2006-01-01	2018-07-19	"xxxxxx and Clemson xxxxxxersity have teamed for a miniature, ultra low power, space radiation dosimeter. We project this unit, \"xxxxxxRad\", to be 50X smaller than the existing solution. Our ability to capitalize on COTS semiconductor devices and processes enable extremely accurate measurements at low cost. xxxxxx xxxxxx. adds their space rad hard computing to provide data logging and reporting of radiation levels. Our innovation is to utilize a normally negative response of modern microelectronics to space radiation to enable measurement of impinging particles. It is our understanding of the radiation effects physics, combined with space electronics computing and hardware which will make this R&D successful.In xxxxxx we demonstrate technical feasibility with a lab breadboard dosimeter and device level radiation test results. We also evaluate advanced microelectronics packaging techniques (3-D stacking) to even further miniaturize in xxxxxx.At the end of xxxxxx we have developed and tested flight model dosimeter including ground-based radiation qualification. Use of space radiation dosimeters has been severely limited due to the size, power, cost of limited custom products; it is our mission to provide a commercially viable standard dosimeter for widespread application to new xxxxxx long duration exploration and science missions."	13591
FORNASIER SPECTRA OF M ASTEROIDS V1.0	2018-06-26	2018-07-19	This data set contains reduced composite visual and near-infrared spectra of thirty M-type asteroids, observed over the years 2004-2008 and presented in xxxxxx (2010). The spectra were taken with the xxxxxx and NICS instruments at xxxxxx (TNG) in xxxxxx, with the EMMI and SOFI instruments at the ESO xxxxxx xxxxxx xxxxxx (NTT) in xxxxxx, and with the SPeX instrument at xxxxxx (IRTF) in xxxxxx. The individual spectra from the various instruments used to produce the composite spectra are also included.	13592
Selective Laser Ablation and Melting, Phase I	2016-12-01	2018-07-19	In this project xxxxxxratech will develop a new additive manufacturing (AM) process called Selective xxxxxx Ablation and xxxxxxing (xxxxxx).  The key innovation in this project is the implementation of laser micromachining - guided by high resolution surface profilometry - as a subtractive method for making in-process corrections to traditional SLM builds.  Currently such an approach to hybrid AM has not been created, but will significantly advance the state-of-the-art for advanced metallic materials manufacturing.  The xxxxxx process will build a layer of a part by conventional SLM, immediately determine deviations from intended part tolerance - which may result either from normal limits of SLM resolution or errors in powder spreading - and then use the micromachining laser to correct those deviations before continuing to the next layer of the build.  Unlike other AM processes, xxxxxx will be able to produce micron-precision features and smooth surfaces on complex internal part structures that cannot be obtained by any other means. It will also produce high resolution external surface features and minimal roughness levels that will require little or no post-processing.  Finally, by elimination of small build errors in situ, before they can propagate into larger errors, it will greatly enhance reliability relative to traditional SLM methods and current hybrid AM methods, leading to higher part confidence, better process documentation (LLP data can be stored to inform digital thread records and digital twin models), and thus easier part certification.  A new AM process with these improvements has been identified an area of need for xxxxxx, where current processes struggle to produce validated, defect free parts in a reliable fashion.  By achieving these improvements xxxxxx will also reduce costs and lead-time.  xxxxxx possibilities are increased as well by enabling micro-AM components or internal features.	13593
Aerodynamic Efficiency Enhancements for Air Vehicles, Phase I	2006-01-01	2018-07-19	The need for aerodynamics-based efficiency enhancements for air vehicles is presented. Concepts are presented for morphing aircraft, to enable the aircraft to optimize its configuration for various flight regimes. Using simulations, wind tunnel testing, and benchtop hardware development, the feasibility of the concepts will be established in xxxxxx In xxxxxx, flight testing will be performed to refine and finalize the designs. The concepts involve tailoring of the wing using adaptive surfaces to acheive drag reduction. This translates to benefits in range, endurance, manueuvering and speed characteristics of the air vehicle.	13594
Integrated Solar-Panel Antenna Array for CubeSats (ISAAC)	2017-10-01	2018-07-19	This project will develop a new subsystem technology for xxxxxx. xxxxxxted xxxxxxar-Panel xxxxxx for xxxxxx (ISAAC) is an efficient, compact, high gain, low power consumption, lightweight, small volume, X-band antenna array with circularly-polarized radiation to support high data rate downlink. The antenna design is optically transparent (i.e. will not compete for valuable surface real estate), modular, and is independent from the solar cells.	13595
Reservoir Cathode for Electric Space Propulsion, Phase I	2011-09-01	2018-07-19	We propose a reservoir cathode to improve performance in both ion and xxxxxx-effect thrusters.  We propose to adapt our existing reservoir cathode technology to this purpose.  xxxxxx cathodes are the only emission sources that are capable of providing the necessary current density (>5.0 A/cm2) and life (>100,000 hours) for next generation high-power thrusters.  More powerful thrusters are needed for interplanetary and lunar missions, including earth escape and near-earth space maneuvers.  xxxxxx cathodes are able to provide sufficient new barium to the cathode surface to overcome the high barium removal rates in ion engines.  We have many years' experience developing reservoir cathodes.  The key challenge is the stresses exerted on the cathode tube due to differential expansion and large temperature excursions.  These lead to fracturing and weld failure.  Our innovation solves this problem. In xxxxxx I, a prototype is built and tested.  In xxxxxx, we optimize for specific ion engines.	13596
Validation of Autonomous Space Systems	2012-09-01	2018-07-19	"xxxxxx validation addresses the question \"Will the system do the right thing?\" When system capability includes autonomy, the question becomes more pointed. As xxxxxx deploys systems deeper into remote environments where the operating conditions are at least partly unknown, the ability to predict details of the operating context – a motivation for pursuing autonomy – becomes more challenging. This workshop will explore system validation concepts for future xxxxxx missions enabled by autonomy.xxxxxx validation addresses the question \"Will the system do the right thing?\" When system capability includes autonomy, or more specifically, onboard mission planning and possibly closed-loop control, the question becomes more pointed. As xxxxxx deploys space systems deeper into remote environments where the operating conditions are at least partly unknown (planetary surfaces, vicinity of primitive bodies), the ability to predict the fine details of the operating context becomes more challenging, and by extension, also the ability to predict how the system will behave under those operating conditions. On the other hand, grappling with operational uncertainty is in fact a motivation for pursuing onboard autonomy. The workshop will explore system validation in the context of future xxxxxx mission scenarios that are enabled by autonomy concepts. The workshop will address the following and related questions: • Are extant validation techniques and methodologies adequate or extensible to future mission scenarios and system autonomy concepts? • Is the concept of a system behavior envelope (an enforceable boundary on system behavior, independent of operating context) viable, both from an engineering safety and a mission success viewpoint? • Is it useful and perhaps necessary to view system validation as an activity that continues into operations (xxxxxx E)? The workshop will generate the following products: • An evaluation of whether future autonomous systems validation can be addressed by extensions to existing validation approaches or requires new validation concepts • A set of prioritized research questions relating to autonomous systems validation, and addressable with a small investment • A set of potential technology investments coupled to the research questions"	13597
JPL Physical Oceanography Distributed Active Archive Center (PODAAC) Extract Granules API	2015-11-30	2018-07-19	PO.DAAC provides several ways to discover and access physical oceanography data, from the PO.DAAC Web Portal to FTP access to front-end user interfaces (see xxxx).  That same data can also be discovered and accessed through PO.DAAC Web Services, enabling efficient machine-to-machine communication and data transfers. Extract service subsets a granule in PO.DAAC catalog and produces either netcdf3 or hdf4 files.	13598
Privacy Preserving Distributed Data Mining	2010-09-10	2018-07-19	Distributed data mining from privacy-sensitive multi-party data is likely to play an important role in the next generation of integrated vehicle health monitoring systems. For example, consider an airline manufacturer [tex]$\mathcal{C}$[/tex] manufacturing an aircraft model [tex]$A$[/tex] and selling it to five different airline operating companies [tex]$\mathcal{V}_1 \dots \mathcal{V}_5$[/tex]. These aircrafts, during their operation, generate huge amount of data. Mining this data can reveal useful information regarding the health and operability of the aircraft which can be useful for disaster management and prediction of efficient operating regimes. Now if the manufacturer [tex]$\mathcal{C}$[/tex] wants to analyze the performance data collected from different aircrafts of model-type [tex]$A$[/tex] belonging to different airlines then central collection of data for subsequent analysis may not be an option. It should be noted that the result of this analysis may be statistically more significant if the data for aircraft model [tex]$A$[/tex] across all companies were available to [tex]$\mathcal{C}$[/tex]. The potential problems arising out of such a data mining scenario are:	13599
The Automated X-Link for Orbital Networking (AXON) Connector, Phase I	2017-12-01	2018-07-19	"xxxxxx has identified the need for a joining technologies to support the ability to connect spacecraft components autonomously in-space. The joining technology should be modular, reversible, have an open-architecture, and allow \"plug-and-play\" functionality for maximum flexibility and utilize simple approaches amenable to robotic assembly and disassembly. TUI has been working on structural truss joining (Class 1 joints) and robotic connection approaches through separate efforts and has several ongoing and future efforts that will require in-space joining of modular systems (Class 2 joints).TUI proposes to develop and demonstrate an open-architecture Class 2 joining solution called the Automated X-Linked for xxxxxx xxxxxx (AXON) connector. The AXON connector will be a reversible module-to-module connector that minimizes mass and complexity while maximizing assembled stiffness, strength, power transfer, and data communications. The development of the AXON connector will leverage TUI's existing programs and place emphasize automated robotic mating and de-mating.In the xxxxxx I effort, we will identify a complete set of requirements, develop a concept design, fabricate the concept using TUI's 3D printing and rapid prototyping capabilities, and test the AXON connector using TUI's Baxter robot. In the xxxxxx effort, TUI will mature the xxxxxx I design and perform reliability testing."	13600
Hybrid-Electric and All-Electric Rotorcraft Analysis and Tool Development, Phase I	2014-12-01	2018-07-19	During this xxxxxx I effort ESAero will draw upon its knowledge of hybrid-electric propulsion system design and analysis for fixed wing aircraft to investigate the potential benefits of incorporating such systems into rotorcraft designs. Past rotorcraft studies have been conducted in conjunction with Electricore, xxxxxx. and an industry prime, to develop hybrid propulsion system trade studies and develop databases for hybrid propulsion system worthy components. This knowledge will be leveraged to investigate potential areas of improvement including energy consumption, weight, overall efficiency, and safety. Implementing hybrid-electric systems could potentially remove redundant systems, reduce turbine size and allow for electrically powered emergency decent. In addition, decoupled energy management has shown potential benefits for fixed wing aircraft, allowing propulsors to be placed virtually anywhere around the aircraft. The potential benefit specific to rotorcraft may mean a broadening of configuration possibilities.	13601
UV Rigid Inflatable Wing, Phase II	2005-12-01	2018-07-19	UV Rigid Inflatable Wing, xxxxxx	13602
E VA Space Suit Power, Avionics, and Software Systems, Phase I	2015-12-01	2018-07-19	xxxxxx is interested in a reliable, robust, and low xxxxxx and xxxxxx (SWAP) input device that will allow for EVA astronauts to navigate display menu systems. The resulting input device should provide mouse-like functionality and need minimal hand use. xxxxxx proposes a solution that does not require any hand or glove control. Instead, we propose an input device that uses purposes eye-blinks, eye motions, and limited vocal commands for display menu navigation.Our reasoning is that the astronaut, especially on EVA, needs a method of accessing display menus in a minimally intrusive way. Their hands are usually occupied, and so using them for mouse-like gestures is impractical. Taking a cue from xxxxxx, and based on our previously developed eye tracking system and voice interaction system developed separately for xxxxxx, we are confident we can create a system that takes purposes eye blinks and motions that allows the astronaut to navigate display menus without interfering with other work. Specifically, during the xxxxxx I we will create a feasibility demonstration that does the following: eye gaze, purposive eye blinks, and limited vocabulary voice commands. The combination of the above three input methods should be relatively easy to learn and use (i.e. minimal practice) and should not interfere with normal EVA operations. What is needed, though, is a small camera/microphone that is located within the astronaut's helmet that continually has a view of one or both of the astronaut's eyes. During the xxxxxx I we will implement a feasibility proof of the above input methods and research appropriate hardware. During the xxxxxx we will acquire hardware similar for a full prototype system that will enable us to demonstrate low SWAP, as well as measure accuracy and utility.	13603
Gene expression profiles of irradiated lung tissue in three mouse strains	2018-06-26	2018-07-19	The aim of our research is to clarify the mechanisms generating heterogeneity in response to C-ion irradiation that arise from individual genetic variations in humans. In this study we performed whole lung C-ion irradiation using three different strains of mice to examine whether strain-dependent differences in radiation effects occur in high-LET C-ion thoracic irradiation. xxxxxx strain-variance was evaluated by histopathological examination of intra-alveolar hemorrhage that is likely to occur during the early phase after irradiation and of lung fibrosis during the late phase occurring more than three months after irradiation. We also performed microarray analysis to identify the key genes that are differentially regulated in different mouse strains after C-ion irradiation and to determine the mechanism of strain-dependent pulmonary damage after high-LET C-ion irradiation. Eight-week old female inbred C3H/He Slc C57BL/6J Jms Slc and A/J Jms Slc mice (3 kinds of mice) were used. The whole thorax of three mice was locally irradiated at 10 Gy with C-ion beams with a reference beam 137Cs gamma-rays (2 kinds of beam). Three mice of each strain (3 mice) were sacrificed and immediately dissected for lung extraction at 6 h (6h sample). Lungs for three mice of each strain without irradiation were extracted at the same time as control samples (control sample). Hybridization to microarrays (xxxxxx Genome 4x44K Oligoxxxxxx xxxxxx single color xxxxxx) consisting of 44,000 total spots was conducted using an Agilent xxxxxx Expression hybridization kit. The arrays from three independent replicates for each sample (3 arrays) were scanned on an Agilent dual-laser xxxxxx (all from Agilent Technologies) following the manufacturer  s instructions. A total of 108 samples were analyzed. 3 replicate arrays x 3 mice x 3 strains x 2 timing for sampling x 2 kinds of beam.	13604
Mobility in the Small Body Environment: Close Proximity Landing and Surface Dynamics	2020-08-01	2018-07-19	xxxxxxreasingly over the past decade, scientific interest in asteroids and comets has led to the development of mission architectures for both robotic and crewed missions to explore these small primordial bodies. Such exploration helps scientists trace the history and evolution of the solar system and possibly the origin of life on Earth. Furthering xxxxxx mission to extend human presence into the solar system, missions investigating near Earth asteroids enable exploration of deep space and are also a stepping stone to longer, more extensive missions to xxxxxx and other planetary bodies. xxxxxx, missions to small bodies have been fly-by trajectories, but recent missions have increasingly attempted to interact with the target body. xxxxxxver, previous failures such as the inability of the MINERVA mini-lander to land on Itokawa illustrates that proximity operations about small bodies remains non-trivial. This motivates the development of technological capabilities needed for small body in situ exploration, sample acquisition, and crewed operations, which could be utilized by future missions such as OSIRIS-REx and the Asteroid Redirect Mission. Proposed is the development of models and tools to characterize and utilize the small body environment for close proximity landing and surface operations. First a model of the strength and stability of small body surfaces will be examined. Understanding how the asteroid particle sizes, compositions, and electrical properties combine to form the asteroid's internal strength is necessary to determine how best to interact with the surface. For instance, if an asteroid is only weakly held together, landing on or anchoring to the surface may not be a viable option. This knowledge will in turn affect what types of tools are developed for future crewed and robotic missions of exploration. Next a model of the electrostatic charging process for small bodies will be developed. The surface of asteroids may be very dusty, making the effect of charged dust on spacecraft significant. Understanding and quantifying how asteroids and comets charge needs to be modeled and tested. Asteroid geometries are diverse and unique and are further complicated through material characteristics and non-uniform distribution of conducting and insulating properties. Next, the interaction between the small body environment and spacecraft will be characterized and modeled. This is key to accounting for all the relevant forces and torques acting on the spacecraft when implementing controlled maneuvers. Effects such as the charge of levitating dust particles around the asteroid, in addition to the varying gravitational field around the asteroid, will affect the motion of the spacecraft over time. Finally, sensing and control methods will be implemented. xxxxxxing methods and technologies to determine (and potentially directly measure) the strength, stability, and electrical properties of asteroids in real-time will enable spacecraft to more effectively interact with the surface. Taking these measurements and implementing unique controls for the specific environment is a key area of research and will provide insight into how the properties of a small body can be manipulated to improve mission capabilities. It is critical for future space missions to understand and utilize the space environment around small bodies to extend mission capability and extensibility. Understanding this environment (through modeling and observation) and utilizing this knowledge for maneuverability around and on the asteroid's surface provides versatile control authority for a variety of mission phases ranging from robust orbital maneuvers, approach and landing, new sample return techniques, and overall mission architecture plans. The proposed research explores the synergy of physics and engineering to both better understand and utilize the space environment around small bodies to enhance exploration by both robotic and crewed missions.	13605
Improved Rhenium Thrust Chambers for In-Space Propulsion, Phase II	2018-04-01	2018-07-19	Radiation-cooled, bipropellant thrust chambers are being considered for the ascent/descent engines and reaction control systems for xxxxxx missions such as xxxxxx and xxxxxxn xxxxxxV.  Currently, iridium-lined rhenium combustion chambers are the state-of-the-art for in-space engines. xxxxxx xxxxxxanced Materials Bipropellant xxxxxx (AMBR) engine, a xxxxxx iridium-rhenium chamber produced by xxxxxx and xxxxxx, recently set a hydrazine specific impulse record of 333.5 seconds.  To withstand the high loads during terrestrial launch, rhenium chambers with improved mechanical properties are needed.  Recent EL-FormTM results have shown considerable promise for improving the mechanical properties of rhenium by producing a multi-layered deposit comprised of a tailored microstructure, i.e., xxxxxx. During xxxxxx I, an AMBR size chamber was produced to demonstrate formation of the xxxxxx material in both the throat and barrel regions.  Tensile tests showed the xxxxxx  material had a yield strength greater than 40ksi at room temperature.  In addition, xxxxxx deposits were produced on multiple mandrels at one time, i.e., multi-component process demonstration.  During xxxxxx, the xxxxxx processing techniques will be optimized. xxxxxx characterization and mechanical properties test will be performed.  xxxxxximization of the multi-component fabrication technique will result in a 30% or higher reduction in chamber fabrication costs.  The most promising techniques will be selected and used to produce an xxxxxx AMBR size combustion chamber for testing at xxxxxx.	13606
Compact isotope analysis system for in-situ biosignature investigation, Phase I	2014-12-01	2018-07-19	We propose to develop a sensor for in-situ stable isotope analysis from a lander/rover on future planetary missions.  The system will enable the collection of valuable information applicable to biosignature investigations, i.e., the search for evidence of life within the solar system.  Current limitations to in-situ isotope measurements will be overcome by utilizing a hollow fiber optic based IR spectroscopy concept.  This concept enables high precision measurements within the ultra-small sample volume (<<1ml) of the hollow fiber and has proven to be three orders of magnitude more sensitive in terms of required sample size than current state of the art isotope sensors.  The proposed project will focus on transitioning the current lab-based technique to a small size, weight, and power (SWaP) device that can be operated unattended.  Significant strides will be made in this direction through the use of optimized hollow fiber technology developed at OKSI.  In xxxxxx I, proposed concepts for improving the system performance, reducing the SWaP, and engineering a field-capable device will be proven and specific options down selected for full development in xxxxxx.  A complete prototype will be produced to measure xxxxxx (C) and xxxxxx (S) isotope ratios from solid rock samples in xxxxxx.  The ability to generate simultaneous C and S isotope measurements from solid samples has great potential for assessing biosignatures relating to sulfate reducing organisms and organisms using simple C substrates (including methanogens, fermenters, and others).  The sensitivity afforded by the proposed system would open up this capability to smaller samples than ever before measured as well as provide a potential device for remote deployment.  This could be a significant development in the search for these biosignatures on other planets and near space objects as well as in the early Earth rock record.	13607
MER 1 MARS HAZARD AVOID CAMERA SURFACE NORMAL RDR OPS V1.0	2018-06-26	2018-07-19	not applicable	13608
